10      44  true  true
  0    35
  1    45
  2    24
  3    96
  4    56
  5    13
  6    20
  7    49
  8    74
  9    57
  0   2   72
  0   6   45
  0   7   60
  0   8    4
  0   9   97
  1   0   71
  1   3   86
  1   5   89
  1   6   35
  1   8   54
  1   9    7
  2   0   88
  3   0   64
  3   5   50
  3   6   92
  3   7   15
  3   8   36
  4   1   71
  4   2   40
  4   5   96
  4   6   28
  4   8   76
  4   9   80
  5   3   45
  5   4   97
  5   6   84
  5   7   67
  6   0   78
  6   3   86
  6   8   91
  7   3   85
  7   4   26
  7   5   14
  7   6   87
  8   0   48
  8   2    0
  8   3   70
  8   4   75
  8   6    3
  8   9   22
  9   1   19
  9   2   58
  9   3   60
  9   4   17
